,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,RANGO ENTRE 0 Y 15 CBM,,,,,,,
PUERTO CARGA,PAIS ,TON / M3 Usd,MINIMO,FREC. ,T / T APROX.,SERVICIO,,,
CALLAO,PERU,"USD 1,00 ","USD 1,00 ",4 días,SEMANAL,USD 15.00 x Bl Fee,DIRECTO,MSL del PERU ,"Tarifa valida para cargas hasta 10 CBM y 5 tons, mayor volumen cotizar caso a caso. "
GUAYAQUIL,ECUADOR,"USD 48,00 ","USD 48,00 ",17 días,SEMANAL,DDT USD 50.00 + VGM USD 7.50,VIA CALLAO,MSL del ECUADOR,"Tarifa valida para cargas hasta 10 CBM y 5 tons, mayor volumen cotizar caso a caso. "
BUENAVENTURA,COLOMBIA,"USD 20,00 ","USD 20,00 ",9 DIAS,SEMANAL,USD 40.00 x Bl Fee,DIRECTO,MSL COLOMBIA,"Tarifa valida para cargas hasta 10 CBM y 5 tons, mayor volumen cotizar caso a caso. "
"MANZANILLO, PA",PANAMA,"USD 50,00 ","USD 50,00 ",14 dias,QUINCENAL,$35.00  BL FEE + FAS USD 30.00 X BL + Agency fee USD 3.00 x BL + VGM $15.00,DIRECTO,Pier 17 Panama,
"MANZANILLO, MX",MEXICO,"USD 10,00 ","USD 10,00 ",14 días,QUINCENAL,********* ,DIRECTO,IFS MEXICO,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
REMARKS: ,,,,,,,,,
,,,,,,,,,
VIGENCIA DE TARIFAS PARA CARGAS EMBARCADAS DESDE EL 01/08/25 AL 31/08/25,,,,,,,,,
TARIFAS SOLO SERAN VÁLIDADAS POR CARGAS RUTEADAS A TRAVÉS DE MSL CHILE EN CONDICION DE FLETE COLLECT,,,,,,,,,
,,,,,,,,,
"Cotización válida para carga apilable, no IMO, de peso y medidas estándar",,,,,,,,,
"Tarifas válidas hasta 15 CBM, cargas mayor volumen cotizar caso a caso.",,,,,,,,,
